,kepler_id,quarter,time_start_index,time_end_index,flare_start_time,flare_end_time,flare_peak_index,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD
8,8424593,14,3034,3037,1345.862449913504,1345.9237499277006,3035,1345.8828832518047,1.5827833770005657e+33,False,5684,0.774,4.586,,0.0010040315707686167,0.061300014196604025,56178.862449913504,56178.9237499277,56178.882883251805
49,8487307,13,2885,2888,1243.590547628679,1243.6518507935398,2886,1243.6109821170394,1.534918921661412e+34,False,5375,0.697,4.624,,0.007001263549143074,0.06130316486087395,56076.59054762868,56076.65185079354,56076.61098211704
53,8491152,1,1218,1221,156.64659091390786,156.7078936713151,1219,156.6670251665346,9.347588558422871e+33,False,5126,0.696,4.578,,0.005276784157181971,0.061302757407247555,54989.64659091391,54989.707893671315,54989.667025166535
54,8491152,2,929,932,191.1188734946045,191.1801751530511,930,191.13930728098785,1.379213931078938e+34,False,5126,0.696,4.578,,0.011087785775607395,0.06130165844660951,55024.118873494604,55024.18017515305,55024.13930728099
56,8491152,2,3771,3774,251.37721672048065,251.43851601150527,3772,251.39764991780248,1.3791612687074202e+34,False,5126,0.696,4.578,,0.006900009938146112,0.061299291024624836,55084.37721672048,55084.438516011505,55084.3976499178
58,8491152,5,180,185,447.25021557090804,447.35238686767116,182,447.2910840890763,2.712133568462514e+34,False,5126,0.696,4.578,,0.01000868179073254,0.10217129676311743,55280.25021557091,55280.35238686767,55280.291084089076
61,8491152,6,326,329,546.1727927260217,546.2340950313883,327,546.193226894713,1.150859261006899e+34,False,5126,0.696,4.578,,0.007271067206973106,0.0613023053665529,55379.17279272602,55379.23409503139,55379.19322689471
63,8491152,9,662,667,822.2477282032269,822.3498996318303,663,822.2681623885583,2.733718615321917e+34,False,5126,0.696,4.578,,0.009259213442662059,0.1021714286034694,55655.24772820323,55655.34989963183,55655.26816238856
64,8491152,10,595,599,919.1881709206791,919.269907245136,596,919.2086050772559,2.0019724763980077e+34,False,5126,0.696,4.578,,0.009539230079833623,0.08173632445686962,55752.18817092068,55752.269907245136,55752.208605077256
66,8491152,11,1293,1298,1028.179815521551,1028.2819795261748,1295,1028.2206811237556,2.2438894349313296e+34,False,5126,0.696,4.578,,0.008362084374477274,0.10216400462377351,55861.17981552155,55861.281979526175,55861.220681123756
75,8491152,13,3638,3642,1260.080983655309,1260.1627209775688,3639,1260.1014179860504,2.105181368027348e+34,False,5126,0.696,4.578,,0.006008469252334116,0.08173732225986896,56093.08098365531,56093.16272097757,56093.10141798605
77,8491152,14,1543,1547,1314.2312957206377,1314.3130308419495,1544,1314.2517295013167,2.2831533121195e+34,False,5126,0.696,4.578,,0.022493669456060073,0.0817351213117945,56147.23129572064,56147.31303084195,56147.25172950132
129,8570781,13,2314,2317,1231.7176366433414,1231.7789400093097,2315,1231.7380709986173,2.2517928446737354e+34,False,5289,0.852,4.469,,0.007844220597920188,0.061303365968342405,56064.71763664334,56064.77894000931,56064.73807099862
191,8589530,12,1005,1008,1123.3154905381234,1123.376789934504,1006,1123.3359236366086,3.3753304135957105e+34,False,5487,0.832,4.563,,0.012088279570405569,0.06129939638049109,55956.31549053812,55956.376789934504,55956.33592363661
211,8590762,10,1889,1892,946.7535124744318,946.814814404599,1890,946.773946451387,2.199498707196147e+34,False,5192,0.774,4.543,,0.008060382833580529,0.06130193016724661,55779.75351247443,55779.8148144046,55779.77394645139
221,8604805,2,2255,2258,218.56109001605364,218.6223899495817,2256,218.5815233608737,2.771201373571031e+34,False,5505,0.771,4.513,,0.01728344831455449,0.061299933528061956,55051.561090016054,55051.62238994958,55051.581523360874
223,8604805,3,207,210,264.53552579748066,264.59682447127125,208,264.55595868885575,3.960452721980408e+34,False,5505,0.771,4.513,,0.012474841413444945,0.06129867379058851,55097.53552579748,55097.59682447127,55097.555958688856
226,8604805,3,1376,1380,289.64747276433627,289.7292038489395,1378,289.6883382566957,5.7221995592958725e+34,False,5505,0.771,4.513,,0.007284226418794915,0.0817310846032342,55122.647472764336,55122.72920384894,55122.688338256696
227,8604805,3,1957,1962,302.5201328865587,302.6222968086149,1958,302.54056559089076,5.7293036755616965e+34,False,5505,0.771,4.513,,0.014641717120907496,0.1021639220562065,55135.52013288656,55135.622296808615,55135.54056559089
229,8604805,3,3136,3140,328.87852439287235,328.9602560815547,3137,328.8989572397768,5.722245391134821e+34,False,5505,0.771,4.513,,0.01111245523665711,0.08173168868233915,55161.87852439287,55161.960256081555,55161.89895723978
230,8604805,3,4101,4104,348.8211731147603,348.88247257819603,4102,348.8416061688913,2.8422681111982505e+34,False,5505,0.771,4.513,,0.008999533994866664,0.06129946343571646,55181.82117311476,55181.882472578196,55181.84160616889
233,8604805,4,949,952,372.0333986902697,372.09469908630854,950,372.05383215534675,5.537960360883316e+34,False,5505,0.771,4.513,,0.009392678556586325,0.06130039603885962,55205.03339869027,55205.09469908631,55205.05383215535
234,8604805,4,1582,1587,386.00995648380194,386.11212481337134,1584,386.0508238147668,7.795966953468378e+34,False,5505,0.771,4.513,,0.009331424548058916,0.1021683295693947,55219.0099564838,55219.11212481337,55219.05082381477
235,8604805,4,2036,2039,395.4299064648221,395.4912078577254,2037,395.45034016214777,3.312048475026039e+34,False,5505,0.771,4.513,,0.00947915638518495,0.06130139290326042,55228.42990646482,55228.491207857725,55228.45034016215
237,8604805,4,2235,2240,403.5217128633667,403.6238823929525,2236,403.5421467687265,9.570904125031673e+34,False,5505,0.771,4.513,,0.021549520412265617,0.10216952958580805,55236.52171286337,55236.62388239295,55236.54214676873
238,8604805,4,3045,3049,420.3184666398447,420.40020315662696,3046,420.3389008436934,6.478400777933431e+34,False,5505,0.771,4.513,,0.019722168894557364,0.08173651678225724,55253.318466639845,55253.40020315663,55253.33890084369
241,8604805,5,830,835,460.65572549196804,460.7578973389682,831,460.6761599612655,4.545895398095697e+34,False,5505,0.771,4.513,,0.015143799782713617,0.10217184700013604,55293.65572549197,55293.75789733897,55293.676159961266
242,8604805,5,1469,1474,473.89720290016703,473.9993747029366,1471,473.9380715613006,4.9106899412284605e+34,False,5505,0.771,4.513,,0.005943098161149264,0.1021718027695897,55306.89720290017,55306.99937470294,55306.9380715613
244,8604805,6,562,565,551.0566424392091,551.1179438983527,563,551.0770762592365,2.3118340981810414e+34,False,5505,0.771,4.513,,0.005200201253153091,0.06130145914357854,55384.05664243921,55384.11794389835,55384.07707625924
247,8604805,6,2829,2833,599.5862403779392,599.6679733782803,2830,599.6066737033107,2.523080273730718e+34,False,5505,0.771,4.513,,0.009926414036560893,0.08173300034104614,55432.58624037794,55432.66797337828,55432.60667370331
250,8604805,6,4116,4120,626.087958199998,626.1696901491014,4117,626.1083912625036,1.899645414611675e+34,False,5505,0.771,4.513,,0.01157963147677075,0.08173194910341408,55459.0879582,55459.1696901491,55459.1083912625
251,8604805,7,231,234,634.95582936758,635.0171281601142,232,634.9762622652415,2.281630922317328e+34,False,5505,0.771,4.513,,0.008938819982682611,0.06129879253421677,55467.95582936758,55468.017128160114,55467.97626226524
252,8604805,7,834,838,647.379012060439,647.4607432870689,835,647.399444792216,3.553676883960536e+34,False,5505,0.771,4.513,,0.016511325294659616,0.08173122662992682,55480.37901206044,55480.46074328707,55480.399444792216
254,8604805,8,176,180,739.000444177058,739.0821777798483,177,739.0208774772909,5.070330261244365e+34,False,5505,0.771,4.513,,0.00800386918037179,0.08173360279033659,55572.00044417706,55572.08217777985,55572.02087747729
255,8604805,8,1434,1437,767.6892147623148,767.7505161802474,1435,767.7096484680151,3.2619477319100966e+34,False,5505,0.771,4.513,,0.0076749744997498546,0.061301417932554614,55600.689214762315,55600.75051618025,55600.709648468015
256,8604805,8,1900,1904,777.3135699032136,777.3953056345345,1901,777.3340038355745,4.6078069699778855e+34,False,5505,0.771,4.513,,0.01696996886953644,0.08173573132080492,55610.313569903214,55610.395305634534,55610.334003835575
258,8604805,8,3049,3053,801.1805698434764,801.2623066148008,3050,801.2010040360328,4.559108297299621e+34,False,5505,0.771,4.513,,0.016930779146228613,0.08173677132435841,55634.18056984348,55634.2623066148,55634.20100403603
259,8604805,9,572,575,820.388791309575,820.4500943867897,573,820.4092257352095,2.1048191646308743e+34,False,5505,0.771,4.513,,0.006986061912346697,0.06130307721468853,55653.388791309575,55653.45009438679,55653.40922573521
263,8604805,11,2771,2775,1059.6048992259748,1059.686630662829,2772,1059.6253320850228,3.270147615587826e+34,False,5505,0.771,4.513,,0.00456711151161927,0.08173143685417017,55892.604899225975,55892.68663066283,55892.62533208502
266,8604805,12,502,506,1109.7885289915139,1109.8702625193255,503,1109.8089622729967,4.277566042952371e+34,False,5505,0.771,4.513,,0.012530301708719774,0.08173352781159338,55942.788528991514,55942.870262519325,55942.808962273
267,8604805,12,820,824,1116.40896126804,1116.490695167915,821,1116.4293947425394,4.237083864927157e+34,False,5505,0.771,4.513,,0.006618034328870755,0.08173389987496193,55949.40896126804,55949.490695167915,55949.42939474254
271,8604805,13,1936,1939,1223.7900680585153,1223.8513711777414,1937,1223.810502431632,2.503917461304748e+34,False,5505,0.771,4.513,,0.00768213443389725,0.06130311922606779,56056.790068058515,56056.85137117774,56056.81050243163
277,8604805,14,1752,1757,1318.5222742705664,1318.6244419294671,1753,1318.5427077028144,4.456229709939546e+34,False,5505,0.771,4.513,,0.014658790392257832,0.10216765890072566,56151.52227427057,56151.62444192947,56151.542707702814
278,8604805,14,2063,2068,1324.9588256091884,1325.0609928664562,2065,1324.9996925130254,4.810161142998692e+34,False,5505,0.771,4.513,,0.00744710744210872,0.10216725726786535,56157.95882560919,56158.060992866456,56157.999692513025
280,8604805,14,3205,3208,1349.3970631581906,1349.4583626494496,3206,1349.4174963221012,2.7623571756623582e+34,False,5505,0.771,4.513,,0.010062827924494524,0.06129949125897838,56182.39706315819,56182.45836264945,56182.4174963221
285,8604805,16,100,105,1474.201421920603,1474.3035883932316,101,1474.2218551946426,9.668198061462838e+34,False,5505,0.771,4.513,,0.019342640803350897,0.10216647262859624,56307.2014219206,56307.30358839323,56307.22185519464
289,8610178,3,3327,3333,332.8222183911421,332.94481594012177,3329,332.86308434014063,3.8832675006204492e+34,False,5302,0.83,4.546,,0.007043099872624388,0.12259754897968378,55165.82221839114,55165.94481594012,55165.86308434014
292,8610178,4,4043,4046,440.875092510134,440.93639526375773,4044,440.8955267611891,3.6452208728555744e+34,False,5302,0.83,4.546,,0.005182314563662149,0.061302753623749595,55273.875092510134,55273.93639526376,55273.89552676119
314,8610178,15,4147,4151,1466.6412299005315,1466.7229622300802,4148,1466.661662907507,4.154342290303833e+34,False,5302,0.83,4.546,,0.01263816851544735,0.08173232954868581,56299.64122990053,56299.72296223008,56299.66166290751
324,8620757,5,1650,1654,478.923464200343,479.00520177077124,1651,478.9438985179004,2.7404859427203015e+34,False,5423,0.739,4.601,,0.009801342670031287,0.08173757042823127,55311.92346420034,55312.00520177077,55311.9438985179
331,8620757,7,2661,2664,685.8340847201325,685.8953829607417,2662,685.8545174669489,1.2936000559005887e+34,False,5423,0.739,4.601,,0.0037232070420776856,0.06129824060917599,55518.83408472013,55518.89538296074,55518.85451746695
335,8620757,8,3039,3043,800.9757537206169,801.0574901026994,3040,800.9961877908136,9.198563733305485e+33,False,5423,0.739,4.601,,0.0031150065197238586,0.08173638208245393,55633.97575372062,55634.0574901027,55633.99618779081
340,8620757,12,221,224,1103.9856127322419,1104.0469120252455,222,1104.0060458296794,6.667451582756997e+33,False,5423,0.739,4.601,,0.0028744338405665305,0.06129929300368531,55936.98561273224,55937.046912025246,55937.00604582968
346,8620757,15,5,8,1373.6107050363353,1373.6720042154848,6,1373.6311381628766,1.3402907430711824e+34,False,5423,0.739,4.601,,0.0029481357419009627,0.06129917914950056,56206.610705036335,56206.672004215485,56206.63113816288
354,8620757,16,1021,1025,1504.7493505452803,1504.831084638754,1022,1504.7697840431792,1.7064681638812479e+34,False,5423,0.739,4.601,,0.007516254664633143,0.08173409347364213,56337.74935054528,56337.831084638754,56337.76978404318
355,8621939,1,691,694,145.71421210814879,145.77551511654747,692,145.73464644436172,1.1792467473751998e+34,False,5945,0.978,4.445,,0.0015956121996721106,0.06130300839868141,54978.71421210815,54978.77551511655,54978.73464644436
358,8621939,2,2882,2885,232.94647253684525,233.00777255337016,2883,232.96690587583726,1.160638883097155e+34,False,5945,0.978,4.445,,0.001864762442388576,0.06130001652491046,55065.946472536845,55066.00777255337,55065.96690587584
366,8621939,4,3093,3098,421.3192961238674,421.4214658425044,3094,421.33973008707835,3.8827112475489945e+34,False,5945,0.978,4.445,,0.0037726912775710927,0.10216971863701474,55254.31929612387,55254.421465842504,55254.33973008708
373,8621939,6,4054,4059,624.8011924384191,624.9033579428215,4056,624.8420587006913,1.4213932218475663e+35,False,5945,0.978,4.445,,0.02079617359406707,0.1021655044023646,55457.80119243842,55457.90335794282,55457.84205870069
383,8621939,8,596,599,747.6642281062523,747.7255280098543,597,747.684661307183,1.080512195204103e+34,False,5945,0.978,4.445,,0.001624385425957694,0.06129990360204829,55580.66422810625,55580.725528009854,55580.68466130718
386,8621939,9,396,400,816.7100160027694,816.791753023921,397,816.7304503327468,1.8079620595247808e+34,False,5945,0.978,4.445,,0.0017404920566087038,0.08173702115163906,55649.71001600277,55649.79175302392,55649.73045033275
388,8621939,9,2545,2549,861.7678009722949,861.8495387692965,2547,861.8086698208499,1.903516515713629e+34,False,5945,0.978,4.445,,0.002597190096861191,0.08173779700155137,55694.767800972295,55694.8495387693,55694.80866982085
391,8621939,10,3409,3416,978.9771465614613,979.1201796520181,3410,978.9975797608786,3.40703966009504e+34,False,5945,0.978,4.445,,0.0039013652752253928,0.1430330905568553,55811.97714656146,55812.12017965202,55811.99757976088
393,8621939,11,999,1003,1022.0704303292587,1022.1521617104881,1001,1022.1112959201637,4.325927369613894e+34,False,5945,0.978,4.445,,0.0021723394992354613,0.08173138122947421,55855.07043032926,55855.15216171049,55855.111295920164
394,8621939,11,1710,1714,1037.6197939792182,1037.7219578901277,1711,1037.6606596038837,6.175729949364287e+34,False,5945,0.978,4.445,,0.014711931742953674,0.10216391090943944,55870.61979397922,55870.72195789013,55870.660659603884
396,8621939,11,3131,3134,1067.9011337364864,1067.9624320570438,3132,1067.9215665099182,2.4102740389986378e+34,False,5945,0.978,4.445,,0.001877199553815345,0.061298320557398256,55900.90113373649,55900.962432057044,55900.92156650992
399,8621939,12,891,895,1120.025683859225,1120.1074171773798,893,1120.0665504677236,1.80126174173592e+34,False,5945,0.978,4.445,,0.0020982360934362226,0.08173331815487472,55953.025683859225,55953.10741717738,55953.06655046772
403,8621939,14,1611,1616,1315.6207817886316,1315.7229507556913,1612,1315.6412156625593,3.4323705220514425e+34,False,5945,0.978,4.445,,0.0060924324426366305,0.10216896705969702,56148.62078178863,56148.72295075569,56148.64121566256
406,8621939,15,124,128,1376.062692973137,1376.144424997794,125,1376.0831259796469,4.668670509204472e+34,False,5945,0.978,4.445,,0.009797693193340836,0.08173202465695795,56209.06269297314,56209.144424997794,56209.08312597965
