,kepler_id,quarter,time_start_index,time_end_index,flare_start_time,flare_end_time,flare_peak_index,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD
37,9963468,2,1130,1133,195.26668977652298,195.3279916264728,1131,195.28712365999672,1.7987325543997931e+34,False,5148,0.777,4.587,,0.007987251745728771,0.061301849949813914,55028.26668977652,55028.32799162647,55028.28712366
58,10006032,5,2241,2245,491.1227684839614,491.20450597513263,2242,491.1432028317504,5.315548562778104e+34,False,5196,0.875,4.463,,0.016012675479819143,0.08173749117122497,55324.12276848396,55324.20450597513,55324.14320283175
67,10006032,12,332,335,1106.294731704067,1106.3560312971895,333,1106.3151648682106,1.5649002781322123e+34,False,5196,0.875,4.463,,0.005170783776960036,0.06129959312238498,55939.29473170407,55939.35603129719,55939.31516486821
74,10006032,15,85,90,1375.2656448493872,1375.3678101757905,87,1375.3065109804593,6.2548274962269975e+34,False,5196,0.875,4.463,,0.01373937878742084,0.10216532640333753,56208.26564484939,56208.36781017579,56208.30651098046
89,10007720,8,459,462,744.8446249550689,744.9059247902187,460,744.8650582331757,3.104670971337985e+34,False,5835,0.92,4.515,,0.0075394198953132405,0.061299835149839055,55577.84462495507,55577.90592479022,55577.865058233176
111,10011070,3,569,573,272.1371573355282,272.2188892263075,570,272.1575903085104,4.346553918905186e+34,False,5667,0.902,4.496,,0.0033141710459196204,0.08173189077933785,55105.13715733553,55105.21888922631,55105.15759030851
117,10011070,4,2815,2819,415.5979356433163,415.6796708347101,2817,415.6388031884853,3.3272551870455655e+34,False,5667,0.902,4.496,,0.005136106831197182,0.08173519139381824,55248.597935643316,55248.67967083471,55248.638803188485
131,10011070,14,226,229,1278.9006445618434,1278.961947088981,227,1278.9210788378623,2.319549057023522e+34,False,5667,0.902,4.496,,0.0035868930898778507,0.06130252713774098,56111.90064456184,56111.96194708898,56111.92107883786
160,10019381,17,82,85,1561.04450652784,1561.105808877328,83,1561.0649405441436,2.1169016799489956e+34,False,5148,0.816,4.523,,0.008522944233174512,0.06130234948795987,56394.04450652784,56394.10580887733,56394.06494054414
178,10064358,7,250,253,635.364758136122,635.4260571542691,251,635.3851910424055,3.1994381569075556e+33,False,5778,0.849,4.546,,0.0007145558306696479,0.06129901814711047,55468.36475813612,55468.42605715427,55468.385191042405
181,10064358,9,1313,1317,835.7141793733899,835.7959166655855,1314,835.7346136713313,8.742078465798697e+33,False,5778,0.849,4.546,,0.0013267335202227985,0.0817372921956121,55668.71417937339,55668.795916665586,55668.73461367133
