,Unnamed: 0,kepler_id,quarter,time_start_index,time_end_index,flare_start_time,flare_end_time,flare_peak_index,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD
1251,639,10537061,10,962,968,926.748400516095,926.8914386836404,964,926.7892685363623,4.2266951282740127e+36,False,5262,1.8259999999999998,3.8360000000000003,,0.3032760212668882,0.1430381675454555,55759.748400516095,55759.89143868363,55759.78926853637
1244,617,10537061,8,331,337,742.2088561040656,742.3314552296579,332,742.2292891911347,4.201804640483683e+36,False,5262,1.8259999999999998,3.8360000000000003,,0.11940953239146355,0.12259912559238728,55575.20885610407,55575.33145522966,55575.229289191135
1252,641,10537061,10,1914,1919,947.2640411494797,947.3662099745123,1915,947.2844749348152,2.998838746139038e+36,False,5262,1.8259999999999998,3.8360000000000003,,0.08256179448775137,0.1021688250330044,55780.26404114948,55780.36620997451,55780.284474934815
436,134,6836589,13,2485,2498,1235.2539203989365,1235.580870703343,2489,1235.3969612603325,2.6616805021194674e+36,False,5641,1.14,4.252,,0.07247352001229196,0.3269503044066369,56068.253920398936,56068.58087070334,56068.39696126033
1246,622,10537061,8,2421,2427,788.1637644024812,788.2863671769957,2423,788.2046319929359,2.6030368715283516e+36,False,5262,1.8259999999999998,3.8360000000000003,,0.3643646825042068,0.12260277451423462,55621.16376440248,55621.286367177,55621.204631992936
1248,626,10537061,9,1882,1890,848.117411173138,848.2808857336786,1884,848.1582798128511,2.5904881555422953e+36,False,5262,1.8259999999999998,3.8360000000000003,,0.18767742646447091,0.16347456054063514,55681.11741117314,55681.28088573368,55681.15827981285
435,133,6836589,13,2311,2323,1231.596161160356,1231.9026773279693,2315,1231.7392019410765,2.4953275648449072e+36,False,5641,1.14,4.252,,0.06445082907258738,0.3065161676131538,56064.59616116036,56064.90267732797,56064.73920194108
434,131,6836589,11,2715,2726,1058.4400532702057,1058.664814187665,2716,1058.4604860711333,2.0023375020330905e+36,False,5641,1.14,4.252,,0.07491917690922577,0.22476091745920712,55891.440053270206,55891.66481418767,55891.46048607113
1269,678,10537061,14,3225,3229,1349.8059422304284,1349.887675796781,3226,1349.8263755474256,1.9903313690687628e+36,False,5262,1.8259999999999998,3.8360000000000003,,0.04132594910653721,0.08173356635234086,56182.80594223043,56182.88767579678,56182.82637554743
1253,643,10537061,10,3016,3023,970.8240366526587,970.9670712406587,3018,970.8649037505603,1.7880100086699676e+36,False,5262,1.8259999999999998,3.8360000000000003,,0.09779724783805817,0.14303458799986402,55803.824036652666,55803.967071240666,55803.86490375057
