,kepler_id,t_start,t_end,t_max,flux_max,raw_integral,energy,fit_amp,fit_fwhm,fit_t_start,fit_t_end,fit_t_max,fit_integral,fit_stdev,duration
5672,10351715.0,2454977.549,2454978.3255,2454977.5898,36.4751,-155.50970128,3.2948e+34,376.4885,0.0417,2454977.9111,2454977.974,2454977.927,28.66285044,125.93379011,0.7764999996870756
6005,10848443.0,2454975.7717,2454976.3847,2454975.9556,12.2492,-1.06528281,4.1187e+34,24.2662,0.0417,2454976.043,2454976.1037,2454976.0585,1.84717588,8.38119764,0.6129999998956919
2946,7287601.0,2455052.5219,2455053.0736,2455052.6037,889.5641,138.8175924,1.3482e+36,800.1102,0.1264,2455052.474,2455053.9931,2455052.5839,184.83163904,10.89137091,0.5516999997198582
1824,6278465.0,2455644.6627,2455645.194,2455644.7036,7.905,-0.17702107,3.5069e+34,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.52612637,0.5312999999150634
7157,11972298.0,2455926.5859,2455926.9945,2455926.688,196.7884,55.48467852,1.6895e+35,224.5955,0.1845,2455926.5743,2455927.7632,2455926.7013,75.57578989,13.72493254,0.4086000001989305
6008,10848443.0,2454988.1344,2454988.5226,2454988.1548,19.3133,3.58269119,4.0307e+34,20.5303,0.0506,2454988.3025,2454988.388,2454988.3231,1.89793332,6.16348719,0.3881999999284744
6901,11414507.0,2455679.0124,2455679.4006,2455679.0328,51.4978,12.26174657,8.4838e+34,52.0958,0.231,2455678.9312,2455680.1009,2455679.078,21.9851088,4.63151999,0.3881999999284744
7027,11666355.0,2455926.5653,2455926.9127,2455926.6675,28.3441,6.70518774,1.0627e+35,28.3156,0.22,2455926.5558,2455927.3921,2455926.683,11.36433792,3.61097634,0.34740000031888485
4965,9520338.0,2455926.5444,2455926.8918,2455926.667,33.5535,5.53353394,1.1179e+35,18.2493,0.2274,2455926.5416,2455927.2945,2455926.667,7.50975205,2.71759833,0.34739999985322356
3876,8377620.0,2455926.565,2455926.9123,2455926.6263,42.0388,10.97725265,7.9304e+34,48.1421,0.2177,2455926.5266,2455927.9149,2455926.6759,19.12735651,2.99804718,0.3473000000230968
