,kepler_id,t_start,t_end,t_max,flux_max,raw_integral,energy,fit_amp,fit_fwhm,fit_t_start,fit_t_end,fit_t_max,fit_integral,fit_stdev,duration
1248,5176547.0,2456308.8563,2456308.9176,2456308.8971,235758.7324,9754.23305074,4.5017e+37,259781.8852,0.3949,2456308.4958,2456319.486,2456308.8906,187435.057472,744.97007882,0.061299999710172415
5856,10537061.0,2455621.1638,2455621.3272,2455621.2046,6215.751,313.6055977,1.3241e+37,6186.8694,0.0417,2455621.1937,2455621.9432,2455621.2352,472.64774854,16.64016465,0.16339999996125698
3553,8040308.0,2456422.6728,2456422.7341,2456422.6933,50493.0234,2063.51265392,1.0112e+37,52720.5929,3.9386,2456418.9317,2456422.775,2456422.775,61931.19347,404.860983,0.0613000001758337
5890,10537061.0,2455986.1691,2455986.2917,2455986.21,5476.7788,256.29420538,8.463e+36,5462.4013,0.0417,2455986.1785,2455986.966,2455986.2201,415.18882536,9.36796584,0.12259999988600612
5858,10537061.0,2455681.1174,2455681.2809,2455681.1583,3178.4299,185.26238616,6.8326e+36,2295.3937,0.041,2455681.092,2455681.7039,2455681.1321,172.18912237,14.344143,0.16350000025704503
5917,10537061.0,2456171.7106,2456171.8536,2456171.7514,2806.2633,168.09464017,5.229e+36,2799.6831,0.0417,2456171.7305,2456172.3705,2456171.7718,213.37498209,15.59537107,0.1430000001564622
5851,10537061.0,2455575.2089,2455575.3519,2455575.2293,2096.6848,133.84533574,3.8284e+36,379.6996,0.0933,2455575.1818,2455575.7902,2455575.2462,61.46087194,22.75773147,0.1430000001564622
5867,10537061.0,2455759.7484,2455759.8097,2455759.7893,4916.1755,128.45138395,3.1414e+36,5502.4022,0.0294,2455759.7487,2455760.191,2455759.7775,296.52044137,33.38177067,0.0613000001758337
2615,6934317.0,2455983.1447,2455983.3082,2455983.1651,9441.2162,491.89515276,3.0393e+36,3004.3516,0.1107,2455983.0511,2455984.5561,2455983.1538,602.6627947,26.83973688,0.16349999979138374
5871,10537061.0,2455803.8036,2455803.9466,2455803.8649,1507.5412,86.06699547,2.8899e+36,1507.0275,0.0417,2455803.8331,2455804.196,2455803.8649,114.6429458,50.01166605,0.1429999996908009
