KIC           t_start       t_end         t_max         flux_max      raw_integral  energy        fit_amp       fit_fwhm      fit_t_start   fit_t_end     fit_t_max     fit_integral  fit_stdev     
005176547     2454966.2701  2454966.3518  2454966.3109  460.4460      14.16885140   1.2461E+35    459.6696      0.0417        2454966.2702  2454966.5920  2454966.3007  35.04933253   19.93580692   
005176547     2454967.9866  2454968.0479  2454968.0070  104.5647      3.22207878    1.8865E+34    104.5637      0.0417        2454967.9865  2454968.0893  2454968.0070  7.95949810    21.32563490   
005176547     2454973.3404  2454973.4426  2454973.3813  222.2255      10.43889166   8.0187E+34    222.1467      0.0417        2454973.3597  2454973.5766  2454973.3864  16.91592622   19.00154354   
005176547     2454984.7632  2454984.8245  2454984.7836  40.9002       1.50157928    7.3791E+33    40.7587       0.0417        2454984.7646  2454984.8529  2454984.7836  3.11331402    9.76441753    
005176547     2454992.5078  2454992.6304  2454992.5282  594.9345      25.56185117   2.6834E+35    406.8003      0.0262        2454992.4946  2454992.7263  2454992.5147  19.53232601   13.05568133   
005176547     2454993.1617  2454993.2434  2454993.1821  847.2524      28.52427756   2.2929E+35    845.7865      0.0417        2454993.1572  2454993.6254  2454993.1923  64.49318161   14.22250853   
005176547     2454994.1221  2454994.1834  2454994.1630  73.0293       1.78595633    1.3176E+34    60.3595       0.0409        2454994.1246  2454994.2112  2454994.1433  4.52672240    14.49277057   
005176547     2455022.1781  2455022.2394  2455022.1985  170.1454      5.40352752    2.9247E+34    170.1060      0.0417        2455022.1713  2455022.4013  2455022.1985  12.95160662   13.34490572   
005176547     2455027.6748  2455027.7361  2455027.6952  88.3127       2.99129780    1.5181E+34    88.0936       0.0417        2455027.6712  2455027.8292  2455027.6952  6.72237657    11.28223993   
005176547     2455031.2098  2455031.2711  2455031.2302  75.5299       2.52087910    1.2983E+34    78.0987       0.0317        2455031.2117  2455031.3146  2455031.2289  4.54632863    11.93248948   
005176547     2455033.3758  2455033.4371  2455033.3962  149.8012      4.62671504    2.5750E+34    130.6427      0.0217        2455033.3755  2455033.4885  2455033.3894  5.17651844    11.14199564   
005176547     2455042.1214  2455042.2440  2455042.1623  279.4870      13.85996189   1.2011E+35    133.4237      0.1095        2455042.0773  2455042.5864  2455042.1449  26.71344560   13.31723573   
005176547     2455046.0038  2455046.0855  2455046.0242  198.3564      7.92380934    5.1144E+34    197.8553      0.0417        2455046.0061  2455046.2655  2455046.0344  15.09895787   12.85896024   
005176547     2455060.1028  2455060.1641  2455060.1232  48.3502       1.69514289    8.3110E+33    43.0754       0.0220        2455060.1062  2455060.1445  2455060.1152  1.73822901    12.59046546   
005176547     2455117.1924  2455117.3150  2455117.2128  556.9318      26.18324802   2.3864E+35    306.3595      0.0696        2455117.1455  2455117.6209  2455117.1943  39.08166248   16.93038494   
005176547     2455127.7969  2455127.8582  2455127.8174  57.2422       2.02115330    9.8110E+33    57.2565       0.0417        2455127.7988  2455127.8821  2455127.8173  4.37782485    14.59918694   
005176547     2455128.1238  2455128.1851  2455128.1443  70.5095       2.09093583    1.2085E+34    70.2271       0.0417        2455128.1241  2455128.2241  2455128.1442  5.36716841    14.79777458   
005176547     2455129.5950  2455129.6359  2455129.5950  66.7125       1.40740293    5.7171E+33    71.0460       0.0417        2455129.5849  2455129.6856  2455129.6052  5.40818146    14.79590564   
005176547     2455135.2548  2455135.3161  2455135.2753  284.9490      9.04360203    4.8839E+34    310.1367      0.0190        2455135.2620  2455135.3955  2455135.2754  10.74216890   16.10276314   
005176547     2455143.2644  2455143.3257  2455143.3053  98.1581       3.04811254    1.6824E+34    103.0944      0.0281        2455143.2682  2455143.3730  2455143.2843  5.29303392    13.42901699   
005176547     2455157.0973  2455157.1586  2455157.1382  66.3819       2.37447541    1.1378E+34    78.0444       0.0132        2455157.1098  2455157.1498  2455157.1168  1.89786283    12.85396279   
