KIC           t_start       t_end         t_max         flux_max      raw_integral  energy        fit_amp       fit_fwhm      fit_t_start   fit_t_end     fit_t_max     fit_integral  fit_stdev     
005788095     2455014.3518  2455014.4131  2455014.3722  98.5776       3.94341550    1.1140E+34    112.1111      0.2904        2455014.2135  2455015.8039  2455014.4028  59.47626000   8.90503131    
005788095     2455333.1346  2455333.1959  2455333.1550  24.7176       0.79605443    2.8806E+33    24.6783       0.0417        2455333.1366  2455333.2188  2455333.1550  1.88152028    6.35690274    
005788095     2455921.2724  2455921.3337  2455921.2928  64.2888       1.97374258    7.8650E+33    64.1097       0.0417        2455921.2676  2455921.4478  2455921.2927  4.89368555    7.02723931    
005788095     2455959.9727  2455960.0340  2455959.9931  18.8099       0.67639142    2.3378E+33    21.7509       0.1053        2455959.9586  2455960.1285  2455960.0003  4.18645765    6.83453686    
005788095     2455960.1770  2455960.2383  2455960.1975  31.2575       1.21348402    3.8848E+33    37.9290       0.0697        2455960.1630  2455960.3201  2455960.1959  4.83882274    8.52088825    
005788095     2456007.1544  2456007.2770  2456007.1748  58.7013       3.07089015    1.8240E+34    58.4580       0.0417        2456007.1801  2456007.3675  2456007.2054  4.46832802    6.10456688    
005788095     2456121.9344  2456122.0161  2456121.9957  6.9857        0.04618842    1.2322E+33    6.2950        0.0077        2456121.9655  2456121.9669  2456121.9660  0.08972344    5.43050484    
005788095     2456122.0161  2456122.0774  2456122.0366  0.1072        -0.05971725   1.2604E+31    6.8977        0.0371        2456122.0138  2456122.0280  2456122.0187  0.46738973    5.12549944    
005788095     2456394.0650  2456394.1263  2456394.1059  36.0465       0.78045743    4.3183E+33    35.9466       0.0417        2456394.0631  2456394.1908  2456394.0854  2.74387159    5.83288244    
005953631     2455400.5062  2455400.6083  2455400.5675  22.7786       1.48588013    2.3597E+34    26.2143       0.0862        2455400.5114  2455400.7234  2455400.5537  4.13262171    5.37047231    
005953631     2455457.7809  2455457.8422  2455457.8013  33.1787       1.10189548    1.7184E+34    33.1283       0.0417        2455457.7770  2455457.9400  2455457.8013  2.52557853    4.09013116    
005953631     2455466.1788  2455466.2605  2455466.1992  44.3387       2.01492801    3.4714E+34    44.3138       0.0417        2455466.1844  2455466.3622  2455466.2094  3.37507480    4.92599948    
005953631     2455572.2658  2455572.3476  2455572.3067  13.0529       0.60133708    1.0331E+34    13.0392       0.0417        2455572.2795  2455572.3504  2455572.2965  0.99359706    3.89378239    
005953631     2455596.8268  2455596.8881  2455596.8676  23.4121       0.84032600    1.2353E+34    28.3950       0.0737        2455596.8188  2455597.0104  2455596.8558  3.82513423    5.48247124    
005953631     2455617.3014  2455617.3627  2455617.3423  27.0446       0.74084161    1.4270E+34    22.4447       0.0539        2455617.2955  2455617.4250  2455617.3216  2.21609375    4.71702224    
005953631     2455682.5073  2455682.5686  2455682.5482  63.2813       1.70104548    3.3761E+34    65.1165       0.0087        2455682.5230  2455682.5742  2455682.5288  1.04882389    4.68993427    
005953631     2455703.4731  2455703.5344  2455703.4936  27.0849       0.84023285    1.4450E+34    31.4252       0.0212        2455703.4850  2455703.5506  2455703.4964  1.22844579    5.07551764    
005953631     2455734.5743  2455734.6356  2455734.5947  31.8842       1.03016008    1.7010E+34    31.8423       0.0417        2455734.5714  2455734.7158  2455734.5947  2.42704967    4.50958535    
005953631     2455746.9370  2455747.0187  2455746.9778  28.9134       1.47913433    2.2753E+34    28.8740       0.0417        2455746.9452  2455747.0751  2455746.9676  2.20090983    4.59122625    
005953631     2455834.8010  2455834.8623  2455834.8419  34.4511       1.19430466    1.8278E+34    34.4057       0.0417        2455834.7997  2455834.9190  2455834.8214  2.62242716    5.99657602    
